Port,lat,lon
"Vancouver, BC Canada",49.2827291,-123.1207375
"Victoria BC, Vancouver Island Canada",48.4284207,-123.3656444
"Ketchikan, Revillagigedo Island Alaska",55.3422222,-131.6461111
"Glacier Bay, Alaska",58.7,-136.15
"Icy Strait Point, Hoonah, Alaska",58.1292446,-135.4628176
"Skagway, Alaska",59.457178,-135.3145346
"Sitka, Baranof Island Alaska",56.9973714,-135
"Vancouver, BC Canada",49.2827291,-123.1207375
"Victoria BC, Vancouver Island Canada",48.4284207,-123.3656444
"Glacier Bay, Alaska",58.7,-136.15
"Icy Strait Point, Hoonah, Alaska",58.1292446,-135.4628176
"Hubbard Glacier, Alaska",60.313889,-139.370833
"Seward, Alaska",60.1047739,-149.4421037
"Kodiak Island, Alaska",57.4912463,-153.495022
"Sapporo-Otaru, Japan Shiribeshi",43.1902372,140.994172
"Aomori City, Japan Aomori",40.8222197,140.7473524
"Tokyo, Japan",35.6764225,139.650027
"Naha, Japan",26.2125758,127.6790208
Singapore,1.355874056,103.8088878
